flow_id,rflow_id,name,uploader,num_duplicates,ignore
7398,7398,"TEST1e77b41a47sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)",865,1,1
7401,7401,TEST1e77b41a47sklearn.preprocessing.data.OneHotEncoder,865,1,1
7400,7400,TEST1e77b41a47sklearn.preprocessing.imputation.Imputer,865,1,1
7403,7403,TEST1e77b41a47sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7516,7516,TEST1f1dee4a69sklearn.dummy.DummyClassifier,865,1,1
7514,7514,"TEST1f1dee4a69sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,dummy=sklearn.dummy.DummyClassifier)",865,1,1
7515,7515,TEST1f1dee4a69sklearn.preprocessing.data.StandardScaler,865,1,1
7319,7319,TEST22dcf98eb7sklearn.cluster.k_means_.KMeans,1159,1,1
7438,7438,TEST23e9b28fedsklearn.naive_bayes.GaussianNB,865,1,1
7337,7337,TEST2db3458bd5sklearn.cluster.k_means_.KMeans,865,1,1
7357,7357,TEST2ec2b4277esklearn.feature_selection.variance_threshold.VarianceThreshold,865,1,1
7358,7358,TEST2ec2b4277esklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7355,7355,"TEST2ec2b4277esklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))",865,1,1
7356,7356,TEST2ec2b4277esklearn.preprocessing.imputation.Imputer,865,1,1
7359,7359,TEST2ec2b4277esklearn.tree.tree.DecisionTreeClassifier,865,1,1
7552,7552,TEST2fb00b7dcfsklearn.dummy.DummyClassifier,865,1,1
7550,7550,"TEST2fb00b7dcfsklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,dummy=sklearn.dummy.DummyClassifier)",865,1,1
7551,7551,TEST2fb00b7dcfsklearn.preprocessing.data.StandardScaler,865,1,1
7335,7335,TEST31a600abc3sklearn.cluster.k_means_.KMeans,865,1,1
7564,7564,TEST320b217a23sklearn.ensemble.forest.RandomForestClassifier,865,1,1
7561,7561,TEST320b217a23sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.ensemble.forest.RandomForestClassifier),865,1,1
7339,7339,TEST34f0e74f63sklearn.cluster.k_means_.KMeans,865,1,1
7569,7569,TEST3524a7e53csklearn.cluster.k_means_.KMeans,865,1,1
7446,7446,TEST3893589554sklearn.ensemble.voting_classifier.VotingClassifier(lr=sklearn.linear_model.logistic.LogisticRegression),865,1,1
7448,7448,TEST3893589554sklearn.linear_model.logistic.LogisticRegression,865,1,1
7311,7311,TEST3bc046ced7sklearn.cluster.k_means_.KMeans,1159,1,1
7389,7389,TEST3d0983eee7sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7321,7321,TEST3ef92c45d6sklearn.cluster.k_means_.KMeans,1159,1,1
7423,7423,TEST3f5f9735dasklearn.decomposition.truncated_svd.TruncatedSVD,865,1,1
7426,7426,TEST3f5f9735dasklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7425,7425,TEST3f5f9735dasklearn.feature_selection.univariate_selection.SelectPercentile,865,1,1
7417,7417,"TEST3f5f9735dasklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(ohe=sklearn.preprocessing.data.OneHotEncoder,scaler=sklearn.preprocessing.data.StandardScaler,fu=sklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile),boosting=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)))",865,1,1
7422,7422,"TEST3f5f9735dasklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile)",865,1,1
7418,7418,"TEST3f5f9735dasklearn.pipeline.Pipeline(ohe=sklearn.preprocessing.data.OneHotEncoder,scaler=sklearn.preprocessing.data.StandardScaler,fu=sklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile),boosting=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier))",865,1,1
7419,7419,TEST3f5f9735dasklearn.preprocessing.data.OneHotEncoder,865,1,1
7420,7420,TEST3f5f9735dasklearn.preprocessing.data.StandardScaler,865,1,1
7427,7427,TEST3f5f9735dasklearn.tree.tree.DecisionTreeClassifier,865,1,1
7338,7338,TEST40524162e8sklearn.cluster.k_means_.KMeans,865,1,1
7307,7307,TEST441adc59c1sklearn.cluster.k_means_.KMeans,1159,1,1
7394,7394,TEST46684787e7sklearn.ensemble.bagging.BaggingClassifier(base_estimator=sklearn.ensemble.bagging.BaggingClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)),865,1,1
7397,7397,TEST46684787e7sklearn.ensemble.bagging.BaggingClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7399,7399,TEST46684787e7sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7367,7367,TEST472c362057sklearn.dummy.DummyClassifier,865,1,1
7365,7365,"TEST472c362057sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,dummy=sklearn.dummy.DummyClassifier)",865,1,1
7366,7366,TEST472c362057sklearn.preprocessing.data.StandardScaler,865,1,1
7296,7296,TEST48096e140csklearn.cluster.k_means_.KMeans,1159,1,1
7363,7363,TEST48b0bfe420sklearn.cluster.k_means_.KMeans,865,1,1
7529,7529,TEST4aec90aca0sklearn.linear_model.logistic.LogisticRegression,865,1,1
7476,7476,TEST4bd46297f3sklearn.feature_selection.variance_threshold.VarianceThreshold,865,1,1
7479,7479,TEST4bd46297f3sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7472,7472,"TEST4bd46297f3sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))",865,1,1
7474,7474,TEST4bd46297f3sklearn.preprocessing.imputation.Imputer,865,1,1
7485,7485,TEST4bd46297f3sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7393,7393,TEST4dc8059d9asklearn.ensemble.voting_classifier.VotingClassifier(lr=sklearn.linear_model.logistic.LogisticRegression),865,1,1
7396,7396,TEST4dc8059d9asklearn.linear_model.logistic.LogisticRegression,865,1,1
7424,7424,TEST5378c22d7csklearn.ensemble.voting_classifier.VotingClassifier(dt=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7429,7429,TEST5378c22d7csklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7415,7415,TEST5378c22d7csklearn.tree.tree.DecisionTreeClassifier,865,1,1
7295,7295,TEST53dd837fb5sklearn.cluster.k_means_.KMeans,1159,1,1
7434,7434,TEST5467e7f51dsklearn.decomposition.truncated_svd.TruncatedSVD,865,1,1
7436,7436,TEST5467e7f51dsklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7435,7435,TEST5467e7f51dsklearn.feature_selection.univariate_selection.SelectPercentile,865,1,1
7428,7428,"TEST5467e7f51dsklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(ohe=sklearn.preprocessing.data.OneHotEncoder,scaler=sklearn.preprocessing.data.StandardScaler,fu=sklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile),boosting=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)))",865,1,1
7433,7433,"TEST5467e7f51dsklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile)",865,1,1
7430,7430,"TEST5467e7f51dsklearn.pipeline.Pipeline(ohe=sklearn.preprocessing.data.OneHotEncoder,scaler=sklearn.preprocessing.data.StandardScaler,fu=sklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile),boosting=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier))",865,1,1
7431,7431,TEST5467e7f51dsklearn.preprocessing.data.OneHotEncoder,865,1,1
7432,7432,TEST5467e7f51dsklearn.preprocessing.data.StandardScaler,865,1,1
7437,7437,TEST5467e7f51dsklearn.tree.tree.DecisionTreeClassifier,865,1,1
7530,7530,TEST5781224702sklearn.cluster.k_means_.KMeans,865,1,1
7533,7533,TEST57d6ebb1b7sklearn.dummy.DummyClassifier,865,1,1
7531,7531,"TEST57d6ebb1b7sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,dummy=sklearn.dummy.DummyClassifier)",865,1,1
7532,7532,TEST57d6ebb1b7sklearn.preprocessing.data.StandardScaler,865,1,1
7500,7500,TEST57dbb999absklearn.decomposition.truncated_svd.TruncatedSVD,865,1,1
7502,7502,TEST57dbb999absklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7501,7501,TEST57dbb999absklearn.feature_selection.univariate_selection.SelectPercentile,865,1,1
7495,7495,"TEST57dbb999absklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(ohe=sklearn.preprocessing.data.OneHotEncoder,scaler=sklearn.preprocessing.data.StandardScaler,fu=sklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile),boosting=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)))",865,1,1
7499,7499,"TEST57dbb999absklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile)",865,1,1
7496,7496,"TEST57dbb999absklearn.pipeline.Pipeline(ohe=sklearn.preprocessing.data.OneHotEncoder,scaler=sklearn.preprocessing.data.StandardScaler,fu=sklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile),boosting=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier))",865,1,1
7497,7497,TEST57dbb999absklearn.preprocessing.data.OneHotEncoder,865,1,1
7498,7498,TEST57dbb999absklearn.preprocessing.data.StandardScaler,865,1,1
7503,7503,TEST57dbb999absklearn.tree.tree.DecisionTreeClassifier,865,1,1
7352,7352,TEST58a7f286bdsklearn.feature_selection.variance_threshold.VarianceThreshold,865,1,1
7353,7353,TEST58a7f286bdsklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7350,7350,"TEST58a7f286bdsklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))",865,1,1
7351,7351,TEST58a7f286bdsklearn.preprocessing.imputation.Imputer,865,1,1
7354,7354,TEST58a7f286bdsklearn.tree.tree.DecisionTreeClassifier,865,1,1
7302,7302,TEST5cc1ddd793sklearn.cluster.k_means_.KMeans,1159,1,1
7292,7292,TEST5d5b8179a7sklearn.cluster.k_means_.KMeans,1159,1,1
7488,7488,TEST5dcb26198esklearn.ensemble.voting_classifier.VotingClassifier(dt=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7492,7492,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7469,7469,TEST5dcb26198esklearn.tree.tree.DecisionTreeClassifier,865,1,1
7468,7468,TEST5e6fbc5ccfsklearn.dummy.DummyClassifier,865,1,1
7466,7466,"TEST5e6fbc5ccfsklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,dummy=sklearn.dummy.DummyClassifier)",865,1,1
7467,7467,TEST5e6fbc5ccfsklearn.preprocessing.data.StandardScaler,865,1,1
7382,7382,TEST61ff2678a0sklearn.cluster.k_means_.KMeans,865,1,1
7374,7374,TEST62d45bd0absklearn.cluster.k_means_.KMeans,865,1,1
7310,7310,TEST6619f535c2sklearn.cluster.k_means_.KMeans,1159,1,1
7306,7306,TEST6621176bf4sklearn.cluster.k_means_.KMeans,1159,1,1
7384,7384,TEST66937c25b4sklearn.cluster.k_means_.KMeans,865,1,1
7543,7543,TEST69fc2ef738sklearn.ensemble.forest.RandomForestClassifier,865,1,1
7542,7542,TEST69fc2ef738sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.ensemble.forest.RandomForestClassifier),865,1,1
7300,7300,TEST6a5fdf8a87sklearn.cluster.k_means_.KMeans,1159,1,1
7293,7293,TEST714e5283dasklearn.cluster.k_means_.KMeans,1159,1,1
7375,7375,TEST76b679eaa1sklearn.cluster.k_means_.KMeans,865,1,1
7439,7439,TEST77a5aad1cesklearn.tree.tree.DecisionTreeClassifier,865,1,1
7332,7332,TEST7811f5d754sklearn.linear_model.logistic.LogisticRegression,865,1,1
7413,7413,TEST7991fa9b6dsklearn.feature_selection.variance_threshold.VarianceThreshold,865,1,1
7405,7405,"TEST7991fa9b6dsklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)",865,1,1
7411,7411,TEST7991fa9b6dsklearn.preprocessing.data.OneHotEncoder,865,1,1
7409,7409,TEST7991fa9b6dsklearn.preprocessing.imputation.Imputer,865,1,1
7414,7414,TEST7991fa9b6dsklearn.tree.tree.DecisionTreeClassifier,865,1,1
7464,7464,TEST7bb1f09cd6sklearn.ensemble.voting_classifier.VotingClassifier(dt=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7471,7471,TEST7bb1f09cd6sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7453,7453,TEST7bb1f09cd6sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7581,7581,TEST8166236cf7sklearn.ensemble.forest.RandomForestClassifier,865,1,1
7580,7580,TEST8166236cf7sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.ensemble.forest.RandomForestClassifier),865,1,1
7582,7582,TEST8255978eb5sklearn.linear_model.logistic.LogisticRegression,865,1,1
7526,7526,TEST83af9daba4sklearn.ensemble.bagging.BaggingClassifier(base_estimator=sklearn.svm.classes.SVC),865,1,1
